gate (block) hour,runway hour,rwy_day,distance,angle,angle error,shortest path,distance_gate,distance_long,operation_mode,other_moving_ac,QDepDep,taxi_time
10,10,20,2609.218523420288,605.7486843877592,0,2450.526173906102,0.0,974.8760264943768,0,15,4,20.35
10,10,20,1726.136540179618,643.9457084485392,0,1439.5860019567124,113.012561341,575.4407558091866,0,11,0,6.85
10,17,23,3096.85836252515,966.4843275960884,1,1387.0500990600854,64.6124524558,746.9421803053973,1,20,49,4740.366666666667
10,10,20,2080.76772175616,477.2563250469817,0,1585.373133778131,120.26799992,768.3105464631772,0,10,5,12.916666666666666
10,10,20,558.2181927794711,138.5582384880513,0,378.36028697666825,91.6845157884,0.0,0,9,4,7.016666666666667
10,10,20,254.5178689937,83.77705577726769,0,110.1484914272,101.443894651,0.0,0,8,0,1.85
16,16,20,2039.9131783532912,824.0984494217225,0,1589.4948889250031,106.733294121,578.1768592638504,1,19,2,13.466666666666669
16,16,20,1739.0989277549047,750.5816325628119,0,1388.8593436330218,71.8532588843,0.0,1,16,0,7.416666666666667
16,16,20,2249.6699699779792,370.4020947335271,0,1980.672148190702,67.0385622797,1019.764459621634,1,13,0,5.616666666666666
16,16,20,1725.6990877494095,457.34468221176655,0,1304.1456780692292,112.574782287,0.0,1,13,0,5.266666666666667
16,16,20,1750.1081837331876,570.6540247750117,0,1149.9808674801495,104.571349969,0.0,1,15,0,3.066666666666667
16,16,20,1344.1077754033104,343.8845537361132,0,928.7977470268496,88.9090138822,575.4407558091866,1,16,0,3.1166666666666667
16,16,20,2568.8292970095004,775.6233447032562,1,1679.957054270265,78.3397662866,0.0,1,18,5,18.383333333333333
16,16,20,2216.612650515628,644.559086516949,1,1721.6915177923197,116.843538226,715.1878870562356,1,16,1,9.75
16,16,20,2242.178873397329,742.2454133479299,0,2220.610647054288,121.806504544,916.9506637659618,1,21,4,16.616666666666667
16,16,20,2653.4418987395434,546.5512256557456,0,2278.1486133431627,66.3146580032,1070.438452629734,1,18,0,9.433333333333334
16,16,20,1849.3690241673507,729.6362042650369,0,1536.5088880229648,83.0918278028,751.8728602562618,1,18,4,11.383333333333333
16,16,20,1996.4597162990317,561.5898021100444,0,1819.029906175248,0.0,0.0,1,18,0,4.483333333333333
16,16,20,1821.7946826766176,668.3744892847343,0,1541.1507332234123,87.1816780958,575.4407558091866,1,18,0,4.266666666666667
16,17,20,2757.612283645101,1087.3636776968108,0,2182.208415912617,90.959777885,916.9506637659618,1,18,2,12.15
17,16,20,1617.3599799219098,584.5418751423193,0,1155.2163342079543,106.733294121,0.0,1,17,0,15.833333333333334
16,17,20,2286.137751466079,828.8325858507931,1,1700.2290000928715,101.443894651,0.0,1,17,1,11.216666666666669
17,16,20,2710.9212328212298,629.7338211915188,0,2504.779092597546,68.8858870922,1019.764459621634,1,15,0,8.433333333333334
17,16,20,2547.194818344544,467.9306782235651,0,2151.868270745663,0.0,1019.764459621634,1,16,0,7.333333333333333
